Gene,Exp
ARL8A,1.526619
ANKRD16,5.347725
SLC6A15,5.459842
C9ORF89,5.833077
GRIN1,1.951035
B3GALT1,3.500611
RARA,7.264452
LOC613212,1.462778
CD79A,1.618391
KRTHA5,1.801052
C3ORF29,8.698251
RP2,5.184067
TNFRSF8,6.900637
C20ORF14,5.740675
OTP,2.640432
DSCR2,8.9107
PLEKHB2,2.628441
FZD6,4.989549
SVIL,2.544935
PMP22,1.929104
ELP4,6.474789
LOC653142,1.677741
CASP6,4.936629
KCNK13,3.496153
GH2,1.817013
SCUBE3,3.327267
RFC5,8.480406
ADRA2A,4.599718
TFAP2D,1.583212
POLR2C,8.636616
MAP2K1IP1,8.126438
TXNL5,11.381693
KIF1B,5.015877
AAA1,1.943996
DUSP23,8.382893
APAF1,7.580134
NYD-SP18,6.032744
PB1,5.630198
KRTAP4-5,1.8444
MAGEC3,1.610947
C14ORF150,3.925855
EPS8L1,1.954304
USP39,8.306925
MED8,4.211225
CRELD1,2.940967
STX3A,7.850472
SEC61A1,10.150433
MFAP2,2.414899
AR,2.084011
FPGS,3.122045
ADC,1.799386
CCL26,3.378566
TJP3,7.813761
MYCBP,4.359709
PRG3,1.891527
SGCG,2.563787
GABRA2,1.896132
GALK2,4.35132
LGALS3BP,6.705178
USP6NL,2.700047
WWP2,6.214001
EXOSC5,7.962506
CDAN1,5.879627
PRMT1,4.326808
LAMP2,6.60863
BTF3,12.279769
BAG3,7.011843
MRAP,1.462173
KCNJ15,1.641926
CNGA2,1.644546
CSMD3,1.680228
STK19,7.097524
CCDC76,6.310115
HOXD9,2.187835
BCL11A,5.219732
ATP6V1C1,6.947105
PTD004,2.687708
PCDH1,2.052491
RAET1G,1.355104
DNAJC3,5.002828
KIAA0355,7.983335
LOC389832,2.339561
C1ORF90,3.045575
SNAP29,4.796806
SFRS15,7.723795
FLJ21963,1.978575
PPP1R14B,10.214075
2012/12/01,1.262204
MSN,8.471952
FKBP10,5.489751
ISG20,5.330284
C9ORF98,2.618563
GNAQ,6.749385
ST7L,3.059451
TCF1,1.997773
PPP1R15A,7.576732
ZBTB24,7.37437
LOC653980,1.748964
APC2,2.988859
MTMR2,5.939337
2012/09/03,7.42797
IL4I1,1.535546
FLJ38984,4.804341
HEAB,7.069635
GPR152,1.418686
MEP1A,2.784373
C6ORF206,1.839413
HIG2,6.935467
SLC34A1,1.768924
FLJ32658,1.786593
M6PRBP1,9.78931
P2RY6,3.442054
UBXD5,2.382318
POLE4,8.599076
RNF44,7.625624
MYH11,3.408342
LOC653062,2.222753
UCHL3,8.708201
CDH7,1.964659
MMRN1,1.511656
SFMBT2,3.032387
ARR3,1.616068
ZNF582,3.83662
MATR3,5.973097
SYF2,7.996517
ZNF529,6.568519
IFNA5,1.589481
LOC643923,1.583056
ACAA2,8.045226
HCRTR1,1.757794
MTBP,4.747359
CREBL2,2.563183
PEX5,8.34132
TDRD6,2.559701
FLJ21820,6.658764
POPDC2,2.420763
H2BFWT,1.793846
MRPS21,8.196121
2'-PDE,6.524466
ITGA8,2.010694
SPN,1.70203
LEFTY1,8.802642
CDH24,3.514485
LOC653033,1.868013
LRPAP1,7.236866
NGRN,8.168549
KIAA1622,2.579461
NPY2R,1.868789
PSCD4,2.506371
TRRAP,8.830749
GRIA2,1.784093
LOC653216,2.086825
LOC150383,3.204973
BRUNOL4,1.774633
GCOM1,2.552323
OMP,1.749526
SGK2,2.153103
AFAP,1.424444
CPSF4,9.796957
ARID1B,2.814545
HSPA1B,8.979764
BTNL3,2.479982
MCOLN2,5.150973
LOC643057,13.31174
LY6H,3.003743
LOC340069,2.317381
RPN1,10.499828
USP50,1.804117
PCNXL2,3.165727
LOC653152,3.4723
GPR177,4.07211
CRAMP1L,6.497063
BMP5,2.889492
ATP5G2,10.411861
LIG3,6.983975
C15ORF40,4.651361
C1ORF43,6.221244
GABRB3,5.630741
ZNF278,1.640644
LIMK2,4.5302
CAMK2N2,4.291659
LACTB2,6.598649
WWOX,2.189242
TSHR,1.626938
CDCA2,7.248095
TCP1,8.385045
LOC653542,6.386261
LOC642181,1.421865
RAB31,8.805523
SYN1,2.489668
GTPBP8,6.940051
GABBR2,4.711288
STX1B2,1.810661
RDH13,6.186344
ENPP5,4.980583
ATP6V1C2,2.541162
SLC7A3,9.877526
PPP2R2B,9.996433
ATP2B3,1.777543
ASPSCR1,8.925143
HIPK1,1.886876
PAQR4,7.52226
CSRP2,8.92267
WFDC1,1.778123
TTC17,6.800192
C14ORF11,2.9408
CAB39L,1.516455
P2RX2,2.719945
DDB2,3.312406
CLCN3,7.147571
C1ORF121,8.707534
INT4,6.789725
ZC3H6,3.576639
AMPD3,1.398563
RIN1,4.330852
RHBDL1,5.898614
NEK6,4.30534
FRMPD2,1.269562
RNH1,5.125874
CHRM4,1.787557
ACADL,2.268181
TRIM15,1.984059
PTPRE,2.232974
MGC5139,5.636254
TOE1,5.415935
CCIN,2.044798
MGC24975,3.766271
ADAMTS12,1.825169
GTDC1,3.700908
GAD1,4.557046
OR11G2,2.334589
AMH,5.304043
RFWD2,9.030721
TREH,1.422465
FLJ25328,1.112786
ZMAT1,1.860397
MRPL30,4.806609
WFDC10B,1.48081
NFATC2,1.952712
ATF3,1.813949
PPP2R2C,3.364368
SH3RF2,4.559791
LOC654017,6.622975
TMF1,6.226473
USP31,2.173001
SIAH1,3.480245
NDUFB8,11.174644
TRIP4,6.921248
NR4A1,2.029791
HIPK1,1.506043
ZBTB41,3.398291
CLDN14,6.544397
CSF2RA,5.05477
CLCF1,3.051236
SPAM1,2.460507
SHMT2,10.582972
HLA-DQB1,2.212253
FRMPD2,1.423817
ZNF224,4.327694
TLE6,3.644459
JRK,3.150513
XKR4,4.74781
KLHDC7B,1.747262
PKP4,5.014787
ZNF334,1.917747
SPTBN1,8.220573
SRM,8.670965
2012/09/06,3.098282
TNFSF14,2.284761
C17ORF81,3.164296
CHRND,1.595045
LOC158830,2.756885
JUB,3.461204
LOC653101,3.135351
LOC653122,1.771197
C3ORF63,4.549865
MAGED2,2.808796
THAP6,4.354502
RFNG,5.177511
ATP11C,5.897608
ACSM1,1.740401
FLOT1,7.430157
GRAMD2,2.41049
DGKA,3.036199
ARF1,3.475294
TAC4,1.798791
ZNF499,5.404059
RBM34,7.368954
PFDN6,7.578677
